,Unnamed: 0,username,description,location,likes,retweets,following,followers,totaltweets,text,hashtags,date,langs
49,49,GoReactforASL,"Ridiculously easy interactive video software for feedback, grading and critique—designed with ASL and ITP training in mind.","Orem, UT",4,1,159,599,8499,Health Workers Study #SignLanguage to Care for #Deaf COVID-19 Patients https://t.co/lMpPzLoeTk,"['SignLanguage', 'Deaf']",2020-03-21 23:59:59,en
52,52,rjwhitaker2014,"💙My 2 👰Babies. 
Worked with 👭Children with special needs.
#ClimateChangeIsReal
#SupportOurVets
❤All Animals🐼🐴🐻🐕🐇🐖",Georgia 🍑,2,1,21096,23884,15483,"A must read.
I am a doctor. And I am immunocompromised. I am safe at home screening patients over the phone for COV… https://t.co/Uw1bZYqQAd",[],2020-03-21 23:59:59,en
54,54,BBroderickNews,"Birder, investor, former journalist. Living it up in the Mississippi flyway.",Eastern Iowa,0,0,1084,305,3853,This just in: Navajo Nation issues “Stay at Home Order” for all residents of the Navajo Nation to fight the spread… https://t.co/1tHHzE8wNy,[],2020-03-21 23:59:59,en
55,55,Nayab87819204,,,0,0,231,16,1957,I did almost everything right. Worked at home. Saw one friend in the last 10 days. Had a beer for an hour outside a… https://t.co/IKwUk4ZPea,[],2020-03-21 23:59:59,en
56,56,shrikebyhozier,23/She/her.      I watched all those vines.....,,0,0,170,24,12517,I did almost everything right. Worked at home. Saw one friend in the last 10 days. Had a beer for an hour outside a… https://t.co/IKwUk4ZPea,[],2020-03-21 23:59:59,en
58,58,nplyact,,,0,0,218,23,11962,A mother of three went from making $400 a night to $80 a night to nothing as the pandemic grew — and now she’s not… https://t.co/rU1WzDH4pN,[],2020-03-21 23:59:59,en
61,61,LbSleiman,"‏‏Work for your country first.
Humanity is the only Universal Religion.
مع الدولة المدنية التي تحمي حقوق جميع مواطنيها، ولتسقط المزارع الطائفية 🌄",,0,0,144,55,2805,"Corona  became a test for humanity.
كورونا هو إختبار للبشرية والإنسانية.
#CoronavirusPandemic 
#COVIDー19 
#Covid_19 
#كورونا","['CoronavirusPandemic', 'COVIDー19', 'Covid_19', 'كورونا']",2020-03-21 23:59:59,en
63,63,greenbkg,Wife. Mother of two. Mimi of two. Retired Certified Educator in Association of Clinical Pastoral Education. Native Georgian. Lifelong Democrat. #biden2020,Northeast Georgia,0,0,358,347,118975,Donald Trump’s inept response to the coronavirus pandemic in the United States is directly responsible for the moun… https://t.co/jWGAXUhD6A,[],2020-03-21 23:59:59,en
65,65,angelineshane22,"I will post anything I want
Critic","Davao City, Davao Region",0,0,934,798,30899,"Hoy Corona Virus!

Tagging @MissMarisRacal ✌️

#SB19LIVE
#SB19ShowBreakMarathon 
#SB19 @SB19Official https://t.co/qaNyKLLTDY","['SB19LIVE', 'SB19ShowBreakMarathon', 'SB19']",2020-03-21 23:59:59,en
66,66,cmregulator61,I'm a Chicago Made Regulator ! Saying what has to be said. In the words of Col. Vindman . 'This is America . I'll be ok.,,0,0,697,63,7939,"We need to bring people together to fight Coronavirus.

Blaming China may seem like good politics, but it doesn’t s… https://t.co/4BC4suxDww",[],2020-03-21 23:59:59,en
